latitude,longitude,elevation,date,month,season,soil_moisture,soil_temperature,soil_ph,bulk_density,sand_percentage,silt_percentage,clay_percentage,nitrogen_content,phosphorus_content,potassium_content,organic_matter,electrical_conductivity,air_temperature,relative_humidity,rainfall,solar_radiation,days_since_fertilization,fertilizer_type,irrigation_frequency,crop_rotation,soil_health_index,crop_yield_potential,fertilizer_n_recommendation,fertilizer_p_recommendation,fertilizer_k_recommendation,irrigation_requirement,soil_degradation_risk,cluster_labels
25.4,-111.7,138.9,2023-03-31,3,Spring,12.3,24.7,7.27,1.3,59.4,36.4,4.2,15.4,10.6,68.9,3.31,0.6,26.0,48.4,20.5,17.3,365,Nitrogen,2,Monoculture,63.0,5.2,184.6,89.4,81.1,37.7,Low,2
44.4,-84.7,351.9,2024-08-27,8,Summer,35.1,23.4,6.2,1.7,69.6,26.8,3.6,15.4,6.8,74.3,4.31,0.4,29.4,52.9,67.4,21.9,249,NPK,1,Corn-Soy,76.0,6.2,184.6,93.2,75.7,22.4,Medium,2
41.6,-93.2,599.4,2024-03-08,3,Spring,38.1,19.9,8.88,1.4,58.6,30.1,11.4,26.0,15.0,52.7,0.82,0.7,19.3,76.8,19.5,15.5,333,NPK,3,Diversified,51.0,3.3,174.0,85.0,97.3,11.9,Medium,0
29.2,-88.2,552.3,2023-02-02,2,Winter,13.9,16.9,6.22,1.8,50.7,45.6,3.7,19.5,4.1,49.6,2.33,0.4,20.5,55.0,41.5,12.4,36,Nitrogen,0,Corn-Soy,61.7,3.9,180.5,95.9,100.4,28.9,Medium,0
28.6,-110.2,77.1,2023-01-31,1,Winter,35.9,17.5,9.0,1.3,79.3,10.9,9.8,20.0,15.8,52.1,1.55,0.3,17.5,83.8,22.4,13.9,165,NPK,2,Monoculture,47.0,2.7,180.0,84.2,97.9,11.3,Medium,0
28.7,-109.4,592.0,2023-04-06,4,Spring,42.2,22.0,6.74,1.4,64.4,31.9,3.7,36.4,12.3,31.1,2.76,0.3,24.1,47.0,75.9,17.9,33,NPK,2,Diversified,67.0,5.1,163.6,87.7,118.9,7.8,Low,2
31.1,-117.9,112.4,2023-08-12,8,Summer,20.5,28.1,5.78,1.2,66.2,19.9,13.9,31.2,36.8,89.9,2.95,0.5,35.4,44.9,129.2,27.4,315,NPK,4,Wheat-Legume,63.7,5.1,168.8,63.2,60.1,44.2,Low,1
35.5,-103.9,278.5,2023-08-27,8,Summer,23.2,28.0,7.15,1.3,37.1,33.6,29.3,17.4,17.5,29.5,3.11,0.4,26.3,41.9,84.7,27.8,52,Phosphorus,5,Fallow,68.1,5.7,182.6,82.5,120.5,40.2,Low,1
33.6,-92.0,315.8,2024-06-01,6,Summer,19.5,29.6,6.51,1.1,54.4,40.5,5.0,47.5,24.3,25.9,3.7,0.6,27.3,56.7,57.1,28.1,47,Phosphorus,6,Diversified,71.7,5.8,152.5,75.7,124.1,45.8,Low,1
30.8,-77.1,58.6,2024-09-08,9,Fall,26.2,22.6,6.36,1.5,15.1,67.3,17.7,62.1,20.5,111.0,6.19,2.0,28.8,42.7,6.8,20.3,124,Nitrogen,0,Diversified,74.2,4.2,137.9,79.5,39.0,23.8,Medium,1
37.2,-86.7,217.7,2023-01-28,1,Winter,38.3,9.3,4.81,1.1,39.8,59.0,1.2,13.2,14.1,82.0,1.28,0.2,12.1,51.4,62.9,11.6,44,Phosphorus,2,Monoculture,57.3,3.6,186.8,85.9,68.0,9.4,Medium,0
27.8,-98.2,616.7,2024-07-28,7,Summer,12.5,29.8,9.0,1.6,22.9,36.1,40.9,15.4,18.4,51.9,1.29,2.7,29.7,61.9,18.2,26.0,340,NPK,6,Corn-Soy,43.2,2.3,184.6,81.6,98.1,56.3,High,1
30.8,-72.3,19.5,2023-07-23,7,Summer,16.4,29.0,9.0,1.0,50.2,40.3,9.6,11.7,14.3,99.6,2.47,0.1,30.6,48.7,16.6,29.5,25,Nitrogen,6,Wheat-Legume,57.1,2.8,188.3,85.7,50.4,50.5,Low,1
32.3,-84.0,1071.8,2024-10-27,10,Fall,22.8,23.9,7.94,1.2,48.7,14.1,37.2,40.6,5.4,45.0,5.37,0.5,25.3,49.2,49.3,13.4,59,Organic,6,Fallow,78.2,5.6,159.4,94.6,105.0,27.2,Low,1
34.1,-73.5,29.6,2024-12-19,12,Winter,32.5,16.9,8.16,1.3,35.6,40.1,24.3,13.1,18.0,84.3,3.64,1.4,18.1,63.0,26.7,11.6,92,NPK,0,Corn-Soy,65.2,3.5,186.9,82.0,65.7,14.0,Low,3
40.7,-93.6,310.0,2024-07-12,7,Summer,25.3,24.8,5.59,1.1,36.6,32.4,31.1,15.6,10.6,48.4,6.49,0.1,30.9,44.3,37.2,22.5,355,NPK,7,Fallow,73.9,4.7,184.4,89.4,101.6,37.1,Low,1
29.0,-107.1,61.7,2024-03-05,3,Spring,28.5,27.6,4.64,1.3,66.8,1.0,32.2,66.5,38.8,68.0,4.81,2.3,26.8,48.7,30.4,21.6,274,Organic,1,Fallow,66.5,4.7,133.5,61.2,82.0,21.5,Medium,2
35.3,-117.4,346.4,2023-08-14,8,Summer,14.9,26.7,7.36,1.2,19.8,68.1,12.1,32.3,7.0,55.7,8.0,1.3,28.0,46.5,50.4,29.4,171,Organic,5,Corn-Soy,72.9,5.9,167.7,93.0,94.3,52.6,Low,1
36.8,-83.7,536.0,2024-04-04,4,Spring,37.9,23.0,6.7,1.6,54.8,29.7,15.5,17.6,4.7,29.1,5.84,1.0,21.8,58.5,50.6,16.4,283,NPK,5,Wheat-Legume,79.6,6.3,182.4,95.3,120.9,12.1,Low,2
25.9,-113.9,440.7,2024-08-26,8,Summer,12.2,29.8,7.31,1.1,79.0,18.7,2.3,19.8,21.5,41.9,2.01,0.4,31.1,65.7,38.2,32.0,230,Organic,6,Monoculture,59.2,3.9,180.2,78.5,108.1,56.7,Low,1
37.2,-104.9,491.2,2023-10-12,10,Fall,18.1,17.6,4.58,1.4,47.9,49.4,2.8,8.3,2.3,46.9,1.02,0.1,17.7,43.2,43.3,15.8,2,NPK,0,Wheat-Legume,50.7,3.2,191.7,97.7,103.1,31.9,Medium,3
28.4,-93.4,201.2,2023-01-07,1,Winter,30.1,18.4,8.49,1.3,49.8,27.5,22.7,19.4,23.5,60.7,3.63,0.1,21.3,40.4,37.9,12.7,356,NPK,1,Monoculture,63.3,3.4,180.6,76.5,89.3,15.9,Low,0
26.3,-91.8,613.9,2023-06-13,6,Summer,25.9,31.7,5.57,1.3,38.3,33.8,27.9,22.5,24.0,55.2,4.87,0.1,33.3,47.1,11.8,27.3,14,Phosphorus,4,Monoculture,80.1,5.1,177.5,76.0,94.8,36.2,Low,1
44.0,-90.0,916.7,2024-12-15,12,Winter,27.7,9.4,5.37,1.3,63.6,24.9,11.4,11.7,9.6,27.4,0.5,0.4,13.1,47.0,31.5,11.8,245,NPK,1,Corn-Soy,50.3,3.3,188.3,90.4,122.6,17.9,Medium,3
44.3,-111.7,268.1,2024-03-08,3,Spring,36.0,16.2,9.0,1.4,13.9,84.8,1.3,22.5,10.1,39.3,1.01,0.6,22.2,54.1,64.3,18.7,154,,1,Corn-Soy,45.2,3.6,177.5,89.9,110.7,14.0,Medium,0
41.2,-101.0,183.3,2023-12-15,12,Winter,40.0,9.8,9.0,0.9,20.3,37.6,42.1,56.0,5.8,90.9,5.66,0.1,8.3,72.2,35.9,9.5,8,Phosphorus,0,Fallow,71.7,3.9,144.0,94.2,59.1,8.0,Low,3
31.1,-89.1,127.3,2023-10-12,10,Fall,17.0,19.0,4.81,1.3,74.8,13.9,11.3,41.9,7.2,48.5,5.54,0.3,21.4,60.0,29.0,21.0,70,NPK,0,Diversified,68.2,4.4,158.1,92.8,101.5,33.0,Low,2
27.0,-71.5,421.1,2023-06-09,6,Summer,25.1,33.7,5.82,1.1,23.9,31.8,44.3,44.2,14.2,31.3,4.7,0.4,30.9,39.9,81.1,27.3,300,,3,Fallow,74.0,5.2,155.8,85.8,118.7,37.3,Low,1
38.7,-83.6,507.3,2023-08-09,8,Summer,24.0,23.6,6.38,1.2,31.9,53.8,14.3,17.3,18.4,82.2,1.36,1.1,25.8,52.3,27.6,27.1,61,NPK,5,Monoculture,62.7,3.8,182.7,81.6,67.8,39.0,Medium,1
33.8,-73.9,183.4,2023-12-11,12,Winter,27.3,9.6,9.0,1.3,69.4,13.3,17.3,16.5,9.5,50.2,0.5,0.1,13.2,64.9,16.1,11.4,215,NPK,1,Fallow,47.9,2.6,183.5,90.5,99.8,18.2,Medium,3
27.4,-81.9,704.5,2023-04-15,4,Spring,14.8,28.4,8.72,1.5,59.7,29.8,10.5,26.9,8.9,78.4,1.13,0.8,29.4,35.8,68.6,23.0,48,Phosphorus,2,Monoculture,46.6,3.6,173.1,91.1,71.6,35.2,Medium,1
34.9,-90.4,396.8,2023-04-05,4,Spring,32.8,17.1,5.14,1.6,35.8,40.9,23.3,15.4,14.0,41.3,8.0,0.7,20.3,59.4,59.6,20.4,0,Phosphorus,0,Monoculture,79.6,5.9,184.6,86.0,108.7,17.2,Medium,0
25.7,-110.4,265.8,2024-01-25,1,Winter,33.7,14.7,7.11,1.2,37.5,34.2,28.4,28.6,20.7,39.3,2.32,0.6,17.7,71.1,21.6,15.7,67,Nitrogen,0,Corn-Soy,68.7,3.5,171.4,79.3,110.7,13.0,Low,0
43.2,-86.7,317.4,2023-04-10,4,Spring,38.7,17.6,6.39,0.8,26.2,70.6,3.2,32.7,13.0,38.3,4.51,0.1,21.4,66.7,31.5,9.0,354,Phosphorus,3,Fallow,71.1,5.0,167.3,87.0,111.7,11.3,Low,0
30.2,-88.8,103.3,2024-01-03,1,Winter,27.3,15.5,6.44,1.3,53.2,45.8,1.0,60.1,16.4,57.4,3.87,0.1,13.9,73.5,14.3,15.0,97,Organic,2,Wheat-Legume,71.8,3.5,139.9,83.6,92.6,18.1,Low,0
38.3,-89.9,417.8,2023-12-19,12,Winter,24.7,8.9,5.92,0.9,42.1,41.7,16.2,10.4,10.5,123.2,3.03,0.8,14.2,84.0,16.5,13.4,41,NPK,5,Fallow,63.0,3.1,189.6,89.5,26.8,20.3,Low,3
31.2,-95.5,109.8,2024-09-10,9,Fall,14.7,17.6,6.4,1.4,20.7,75.3,4.1,34.0,3.3,46.1,2.73,0.4,18.7,65.4,22.7,19.8,238,,1,Wheat-Legume,55.8,2.3,166.0,96.7,103.9,35.3,Low,3
35.4,-93.6,164.5,2023-09-28,9,Fall,5.0,20.3,8.4,1.1,66.0,19.6,14.5,15.8,22.3,59.2,6.22,0.5,17.3,74.8,18.2,20.6,290,NPK,2,Wheat-Legume,62.2,3.6,184.2,77.7,90.8,45.0,Low,3
35.9,-103.3,236.2,2023-02-14,2,Winter,26.8,14.7,6.6,1.4,28.5,53.4,18.1,42.9,2.4,124.5,5.97,1.0,13.9,69.0,5.4,11.6,21,NPK,1,Fallow,88.8,4.8,157.1,97.6,25.5,18.6,Low,0
28.7,-94.0,823.3,2024-04-15,4,Spring,50.0,24.4,6.76,1.1,71.1,24.0,4.8,24.1,6.1,55.7,2.07,0.1,22.6,63.1,29.2,17.5,18,Phosphorus,1,Diversified,58.4,4.1,175.9,93.9,94.3,0.0,Low,2
44.4,-110.1,299.0,2024-07-03,7,Summer,32.2,19.7,8.74,1.1,48.0,33.3,18.7,21.6,13.7,35.4,2.63,0.1,20.1,81.9,48.7,23.0,93,NPK,3,Corn-Soy,59.5,5.0,178.4,86.3,114.6,26.7,Low,3
40.5,-79.7,120.0,2023-05-08,5,Spring,22.1,19.9,7.8,1.1,43.6,46.8,9.6,32.5,7.7,53.0,2.15,0.3,19.3,65.4,67.3,21.0,1,Organic,2,Diversified,68.4,4.9,167.5,92.3,97.0,27.9,Low,0
43.8,-110.7,318.3,2024-01-23,1,Winter,25.9,8.2,8.77,1.4,52.6,36.5,10.9,32.8,12.7,60.3,3.6,0.2,5.6,95.0,12.4,10.1,316,NPK,0,Fallow,64.2,2.8,167.2,87.3,89.7,19.3,Low,0
42.9,-115.8,380.1,2023-03-22,3,Spring,25.8,16.7,5.6,1.0,47.1,46.8,6.1,16.7,31.5,36.1,0.5,1.5,13.7,72.0,54.8,13.5,36,NPK,2,Wheat-Legume,52.5,3.3,183.3,68.5,113.9,24.2,Medium,0
37.0,-98.2,564.9,2024-07-19,7,Summer,33.2,23.1,6.96,1.4,62.1,25.5,12.4,21.2,4.0,45.8,0.78,0.2,25.0,42.4,93.2,27.2,180,NPK,6,Wheat-Legume,55.5,3.9,178.8,96.0,104.2,25.2,Medium,1
43.4,-87.1,245.3,2023-10-28,10,Fall,39.8,13.2,6.9,1.7,17.5,67.3,15.2,14.9,14.1,39.7,1.9,1.1,19.5,64.8,9.9,17.9,288,NPK,3,Fallow,64.4,3.6,185.1,85.9,110.3,10.2,Medium,3
26.8,-98.1,136.5,2024-10-05,10,Fall,22.7,23.6,6.62,1.6,60.1,30.4,9.4,21.7,3.8,125.5,1.5,0.4,26.1,58.8,21.9,24.4,241,Phosphorus,4,Monoculture,56.6,3.6,178.3,96.2,24.5,27.3,Medium,1
28.9,-106.2,968.6,2024-09-25,9,Fall,24.1,22.9,6.32,1.0,49.4,31.3,19.3,32.2,10.0,32.3,6.27,0.1,23.1,66.4,53.5,16.5,77,NPK,2,Monoculture,75.8,6.5,167.8,90.0,117.7,25.9,Low,2
25.9,-92.1,318.8,2024-01-06,1,Winter,34.2,16.4,9.0,1.0,45.3,37.4,17.3,43.6,7.4,42.6,2.19,0.6,15.2,62.8,12.3,13.3,280,Organic,1,Fallow,53.1,2.6,156.4,92.6,107.4,12.7,Low,0
31.5,-102.6,120.6,2024-08-14,8,Summer,21.9,28.5,6.16,1.4,15.5,68.9,15.6,8.1,4.3,29.6,2.31,0.7,26.7,90.2,59.2,29.9,271,NPK,7,Monoculture,61.7,4.9,191.9,95.7,120.4,42.2,Low,1
32.8,-73.4,243.7,2023-07-16,7,Summer,24.3,30.6,9.0,1.1,48.5,28.9,22.7,35.7,30.3,40.1,2.53,0.1,31.8,55.6,34.5,26.2,25,NPK,5,Wheat-Legume,67.2,5.0,164.3,69.7,109.9,38.6,Low,1
30.4,-73.9,164.6,2024-12-22,12,Winter,30.4,10.9,9.0,1.4,78.5,17.9,3.6,29.4,14.9,49.3,3.56,0.3,12.3,86.6,30.6,8.0,269,Organic,2,Diversified,66.8,3.1,170.6,85.1,100.7,15.7,Low,3
41.6,-94.9,588.1,2023-03-13,3,Spring,33.8,16.0,5.39,1.0,47.4,41.3,11.3,11.2,31.7,70.1,2.52,0.1,19.7,71.8,19.6,11.4,75,Organic,3,Corn-Soy,68.3,5.1,188.8,68.3,79.9,16.2,Low,0
32.1,-103.6,377.5,2023-02-16,2,Winter,14.0,13.2,5.12,1.3,85.5,7.2,7.3,9.1,6.9,74.7,0.5,0.1,14.1,62.9,22.6,14.6,40,Organic,1,Wheat-Legume,49.6,2.7,190.9,93.1,75.3,28.8,Medium,2
30.6,-83.1,194.2,2024-11-08,11,Fall,18.2,23.3,4.74,1.5,56.4,28.6,15.0,20.3,25.8,44.9,3.53,0.6,29.4,44.1,38.0,17.8,311,Organic,4,Corn-Soy,62.6,4.6,179.7,74.2,105.1,31.8,Low,1
35.9,-118.2,507.5,2023-08-22,8,Summer,12.5,30.7,9.0,1.0,56.4,27.1,16.5,19.4,16.9,63.9,0.5,0.3,28.9,54.8,64.1,24.4,244,,7,Diversified,33.3,3.4,180.6,83.1,86.1,56.2,High,1
27.8,-96.3,228.6,2023-10-24,10,Fall,27.5,19.0,9.0,1.3,94.9,3.9,1.3,20.7,4.8,23.9,4.06,0.1,17.6,47.7,3.4,25.1,91,NPK,0,Diversified,60.9,3.6,179.3,95.2,126.1,22.5,Low,2
41.0,-103.2,239.3,2023-03-23,3,Spring,23.7,18.1,5.45,1.3,51.6,36.1,12.3,43.3,5.8,59.5,1.16,1.4,21.3,55.8,28.6,16.9,305,NPK,2,Monoculture,54.3,4.2,156.7,94.2,90.5,26.3,Medium,0
26.5,-74.0,133.2,2023-08-27,8,Summer,9.5,35.0,8.82,1.4,31.5,60.3,8.3,9.5,5.7,43.9,2.82,0.6,35.5,34.2,20.5,30.7,93,Organic,6,Wheat-Legume,48.1,3.3,190.5,94.3,106.1,60.8,Low,1
44.7,-119.4,132.3,2023-04-14,4,Spring,15.7,15.8,5.74,1.2,33.3,64.6,2.1,11.5,14.7,50.6,0.5,0.1,16.1,74.4,7.8,15.7,29,Organic,2,Corn-Soy,57.5,3.4,188.5,85.3,99.4,34.3,Medium,0
40.4,-92.4,926.7,2024-01-25,1,Winter,33.6,14.1,7.03,1.0,73.3,12.6,14.1,10.2,14.3,84.1,0.5,0.6,13.8,61.9,11.8,9.6,364,NPK,0,Monoculture,59.8,3.1,189.8,85.7,65.9,13.1,Medium,0
29.0,-83.0,491.2,2023-10-12,10,Fall,14.6,23.0,9.0,0.8,36.6,54.6,8.7,36.0,34.8,48.8,2.61,0.9,20.8,81.4,6.2,14.9,339,NPK,1,Fallow,58.8,2.8,164.0,65.2,101.2,35.4,Low,3
25.1,-95.7,37.7,2024-04-09,4,Spring,28.9,29.3,7.82,1.6,29.5,60.2,10.4,28.6,6.3,71.3,0.63,0.3,25.0,87.2,50.1,19.6,219,,4,Corn-Soy,48.4,3.8,171.4,93.7,78.7,21.1,Medium,1
41.3,-115.7,107.4,2024-10-12,10,Fall,34.7,14.0,5.63,1.5,40.8,13.2,46.0,21.8,17.0,25.4,8.0,0.7,13.9,75.9,18.2,15.0,135,NPK,0,Diversified,71.9,4.0,178.2,83.0,124.6,15.3,Low,3
39.1,-71.4,87.7,2024-01-09,1,Winter,33.0,8.7,7.16,1.3,37.0,58.8,4.1,15.6,14.2,58.2,2.43,0.2,7.3,94.0,57.4,8.5,265,Phosphorus,1,Corn-Soy,69.7,3.8,184.4,85.8,91.8,13.6,Low,0
39.6,-94.1,261.8,2023-06-16,6,Summer,17.9,23.9,6.29,1.3,64.4,22.3,13.3,18.2,7.1,106.8,0.5,0.1,26.8,57.3,11.4,26.1,301,Nitrogen,7,Diversified,52.1,2.4,181.8,92.9,43.2,48.1,Medium,1
40.4,-89.3,178.0,2024-01-15,1,Winter,20.6,11.7,8.78,1.4,31.7,67.9,0.4,16.6,20.6,46.7,2.66,1.8,13.5,66.8,0.7,8.9,131,,0,Diversified,51.9,2.1,183.4,79.4,103.3,23.5,Low,0
26.5,-108.2,668.2,2023-12-30,12,Winter,33.5,11.4,7.75,1.5,46.4,34.8,18.8,27.5,9.7,35.3,0.51,0.1,11.4,66.0,1.3,14.8,3,NPK,2,Diversified,57.2,3.9,172.5,90.3,114.7,13.2,Medium,3
32.2,-95.8,191.9,2023-08-03,8,Summer,21.0,29.1,7.73,0.9,49.6,15.5,34.9,52.4,13.5,74.0,1.88,0.4,29.6,51.6,28.5,25.8,224,NPK,7,Monoculture,61.2,3.6,147.6,86.5,76.0,43.5,Medium,1
27.3,-98.5,865.2,2024-11-17,11,Fall,26.6,25.1,5.56,0.9,32.9,41.3,25.8,11.6,13.3,72.3,5.63,0.1,30.4,40.2,13.6,17.7,85,Organic,1,Corn-Soy,79.1,4.0,188.4,86.7,77.7,23.4,Low,1
42.3,-116.3,234.1,2023-10-01,10,Fall,5.0,15.6,5.53,0.9,69.3,24.2,6.4,16.2,7.9,66.9,5.79,0.5,15.1,80.0,38.0,11.4,87,Organic,1,Fallow,70.6,4.2,183.8,92.1,83.1,45.0,Low,3
37.5,-114.7,989.8,2024-12-19,12,Winter,39.1,13.8,7.3,1.2,40.6,44.9,14.5,17.9,16.1,24.2,2.82,0.1,18.6,58.2,22.0,10.0,46,Nitrogen,3,Monoculture,64.6,3.4,182.1,83.9,125.8,8.7,Low,3
31.6,-78.1,212.8,2024-11-30,11,Fall,8.3,16.4,9.0,1.3,37.0,24.9,38.1,5.6,18.2,41.9,0.5,0.1,22.5,61.0,27.3,18.3,231,Nitrogen,1,Wheat-Legume,38.1,1.9,194.4,81.8,108.1,41.7,High,3
26.3,-108.0,216.2,2024-10-25,10,Fall,18.1,20.4,9.0,1.5,64.2,20.1,15.7,31.2,26.3,39.9,1.95,0.6,23.3,49.0,61.2,21.0,221,NPK,3,Diversified,45.5,4.2,168.8,73.7,110.1,31.9,Medium,2
31.2,-110.3,483.7,2023-03-15,3,Spring,41.1,26.3,4.9,0.8,38.0,30.8,31.2,20.9,9.6,50.5,2.23,0.8,27.1,42.6,55.9,17.8,147,Organic,3,Corn-Soy,54.8,4.2,179.1,90.4,99.5,8.9,Low,1
31.5,-94.8,436.0,2024-09-15,9,Fall,5.0,20.0,7.05,1.0,32.8,60.1,7.1,24.5,10.6,34.8,6.21,0.8,21.4,74.8,28.3,19.2,172,Nitrogen,3,Fallow,67.8,3.6,175.5,89.4,115.2,45.0,Low,3
39.6,-81.6,73.9,2024-10-12,10,Fall,21.3,13.6,9.0,1.3,49.4,42.9,7.7,15.0,5.3,70.2,3.41,0.1,17.9,61.0,12.3,17.4,179,Organic,3,Diversified,57.6,2.5,185.0,94.7,79.8,28.7,Low,3
37.8,-116.9,266.6,2023-06-25,6,Summer,19.8,27.9,8.5,1.4,72.4,17.6,10.0,24.5,8.4,63.2,1.72,0.1,28.9,45.2,14.6,26.7,110,,4,Monoculture,43.6,2.1,175.5,91.6,86.8,45.3,Medium,2
42.7,-91.2,176.6,2024-06-30,6,Summer,21.8,23.1,7.66,1.3,67.1,32.0,0.9,18.7,7.1,124.3,0.9,0.7,32.2,37.7,3.1,26.0,190,Organic,6,Wheat-Legume,53.4,3.0,181.3,92.9,25.7,42.3,Medium,1
34.4,-114.0,166.7,2023-09-08,9,Fall,24.8,23.4,9.0,1.1,33.1,66.5,0.4,20.8,14.5,69.5,0.72,0.1,23.0,53.0,27.3,21.3,37,Phosphorus,4,Wheat-Legume,45.4,2.9,179.2,85.5,80.5,25.2,Medium,1
27.4,-118.2,265.6,2023-06-17,6,Summer,22.1,33.0,5.47,1.2,33.1,50.3,16.7,34.8,20.4,39.1,8.0,0.2,37.1,35.8,102.1,26.3,65,NPK,2,Monoculture,80.5,7.1,165.2,79.6,110.9,41.8,Low,1
39.3,-117.4,198.2,2024-04-18,4,Spring,19.3,18.0,8.59,1.3,38.9,56.2,4.9,24.1,24.9,42.1,5.42,0.2,22.8,38.0,41.9,17.0,102,,1,Diversified,59.6,3.7,175.9,75.1,107.9,30.7,Low,0
40.2,-78.3,287.1,2024-01-24,1,Winter,30.8,12.0,9.0,1.0,61.3,33.4,5.3,9.5,27.5,87.4,2.15,1.3,9.1,87.0,20.2,13.5,16,Organic,0,Corn-Soy,60.8,2.8,190.5,72.5,62.6,15.4,Low,0
36.2,-114.1,103.0,2023-10-04,10,Fall,21.9,20.6,5.32,1.1,61.9,36.9,1.1,19.2,18.6,23.7,4.54,1.0,23.2,61.6,14.1,16.2,291,NPK,1,Corn-Soy,71.6,4.8,180.8,81.4,126.3,28.1,Low,2
40.4,-117.7,57.3,2024-10-17,10,Fall,21.5,15.3,7.75,1.0,40.0,48.5,11.5,36.6,11.9,33.9,2.38,0.3,16.4,76.7,6.5,20.4,229,NPK,0,Diversified,59.5,2.7,163.4,88.1,116.1,28.5,Low,3
34.9,-98.1,496.6,2024-12-05,12,Winter,46.7,9.8,8.82,1.4,82.8,15.1,2.1,18.2,4.2,67.2,0.88,0.8,10.8,89.3,29.8,12.7,337,Organic,0,Wheat-Legume,43.0,2.2,181.8,95.8,82.8,2.6,Medium,3
35.5,-77.8,550.1,2024-07-24,7,Summer,32.7,27.9,9.0,1.1,34.0,39.8,26.2,29.3,16.7,72.7,2.46,0.7,32.9,44.7,6.4,23.0,279,NPK,2,Monoculture,54.7,2.3,170.7,83.3,77.3,26.0,Low,1
33.6,-106.9,475.5,2023-08-13,8,Summer,36.6,27.5,4.85,1.0,80.4,18.0,1.6,43.4,6.4,52.9,3.38,0.3,28.8,50.3,33.0,30.4,3,NPK,4,Wheat-Legume,72.6,4.2,156.6,93.6,97.1,20.1,Low,2
25.5,-98.9,256.7,2024-12-02,12,Winter,32.8,16.0,5.95,1.2,86.0,10.2,3.7,31.2,10.2,47.9,4.67,0.1,22.3,65.0,44.3,16.5,248,NPK,0,Monoculture,80.5,6.4,168.8,89.8,102.1,13.8,Low,2
27.2,-118.0,186.2,2023-11-29,11,Fall,36.3,19.1,4.61,1.5,26.5,28.6,44.9,25.9,11.1,44.5,1.34,0.7,17.4,53.3,14.5,21.6,8,,0,Fallow,50.4,2.8,174.1,88.9,105.5,13.7,Medium,3
