field_id,measurement_date,soil_type,crop_type,region,season,soil_moisture_percent,soil_temperature_celsius,ph_level,nitrogen_ppm,phosphorus_ppm,potassium_ppm,organic_matter_percent,electrical_conductivity_ds_per_m,bulk_density_g_per_cm3,rainfall_last_week_mm,avg_humidity_percent,ndvi_vegetation_index,soil_health_score,health_category,recommendations
F0020,2024-05-10,Silt,Rice,East,Summer,21.39,27.88,6.57,57.31,25.08,140.74,3.23,0.97,1.29,13.2,66.9,0.838,0.756,Good,Maintain current practices
F0021,2025-04-20,Peat,Barley,Central,Winter,80.0,1.1,5.45,46.71,27.25,155.09,11.9,0.55,0.738,6.2,78.5,0.346,0.691,Good,Add lime to increase pH; Improve drainage
F0022,2025-02-03,Silt,Cotton,South,Summer,22.89,28.34,6.83,65.98,29.88,179.16,3.06,1.96,1.291,22.9,58.4,0.796,0.835,Excellent,Maintain current practices
F0023,2024-02-04,Silt,Corn,North,Spring,38.05,11.38,7.1,64.96,25.78,203.81,2.59,3.05,1.47,2.7,74.4,0.694,0.761,Good,Reduce soil salinity
F0024,2024-09-29,Sandy,Tomato,Central,Spring,15.31,15.15,5.8,79.8,23.82,146.98,1.64,1.13,1.544,5.8,68.1,0.529,0.676,Good,Add lime to increase pH; Increase irrigation; Add organic compost
F0025,2025-03-20,Silt,Potato,Central,Fall,25.66,9.19,6.78,46.29,27.49,239.01,3.43,0.73,1.32,8.3,69.8,0.176,0.912,Excellent,Maintain current practices
F0026,2025-06-18,Clay,Corn,Central,Fall,39.6,11.78,7.32,60.52,21.79,188.96,3.51,0.9,1.223,33.3,71.1,0.623,0.776,Good,Maintain current practices
F0027,2024-02-09,Loam,Corn,East,Winter,35.12,5.37,7.46,48.53,18.28,156.02,3.14,0.54,1.209,10.9,51.5,0.374,0.726,Good,Maintain current practices
F0028,2025-02-01,Silt,Wheat,East,Summer,26.49,27.36,6.86,40.29,35.83,175.42,3.62,0.17,1.29,10.1,69.5,0.601,0.896,Excellent,Maintain current practices
F0029,2024-02-04,Clay,Barley,Central,Summer,23.15,26.25,6.88,49.26,25.96,200.58,3.86,0.3,1.217,6.5,88.3,0.617,0.961,Excellent,Maintain current practices
F0030,2025-05-06,Loam,Rice,Central,Spring,30.2,19.12,7.33,46.01,32.77,205.82,4.88,0.35,1.469,1.4,86.7,0.56,0.972,Excellent,Maintain current practices
F0031,2024-09-06,Loam,Potato,North,Spring,34.51,12.15,7.29,46.56,11.37,177.78,4.39,0.81,1.512,2.1,70.5,0.459,0.812,Excellent,Apply phosphorus fertilizer
F0032,2025-04-03,Loam,Soybean,North,Summer,14.32,21.87,7.09,34.11,29.03,158.79,3.8,0.77,1.296,8.7,30.8,0.495,0.809,Excellent,Increase irrigation
F0033,2025-02-27,Clay,Corn,West,Spring,41.66,16.56,7.38,72.06,20.76,156.97,3.36,0.1,1.237,0.7,73.6,0.647,0.954,Excellent,Maintain current practices
F0034,2024-05-29,Sandy,Rice,West,Summer,13.86,26.74,5.71,35.15,26.63,149.75,1.09,0.48,1.492,9.8,78.7,0.599,0.699,Good,Add lime to increase pH; Increase irrigation; Add organic compost
F0035,2025-08-31,Peat,Tomato,South,Summer,42.23,28.28,5.96,76.31,16.7,172.39,11.56,0.22,0.609,16.0,44.0,0.684,0.804,Excellent,Add lime to increase pH
F0036,2025-02-11,Loam,Tomato,East,Winter,31.04,3.82,6.54,60.39,18.35,190.82,4.17,0.69,1.309,10.0,69.1,0.375,0.844,Excellent,Maintain current practices
F0037,2023-11-05,Silt,Corn,South,Summer,21.3,31.5,6.5,70.35,19.7,202.82,2.62,0.13,1.304,6.5,74.6,0.351,0.814,Excellent,Maintain current practices
F0038,2025-04-25,Loam,Wheat,Central,Summer,13.87,23.7,6.81,47.12,21.92,220.25,3.91,1.5,1.287,4.5,95.0,0.687,0.817,Excellent,Increase irrigation
F0039,2024-04-22,Sandy,Wheat,North,Spring,19.11,10.79,6.03,52.75,34.34,190.18,1.97,0.59,1.568,6.4,69.3,0.911,0.8,Good,Increase irrigation; Add organic compost
F0040,2025-02-08,Clay,Wheat,East,Spring,41.02,17.4,7.08,37.7,16.94,105.17,3.32,0.85,1.468,6.9,77.3,0.635,0.792,Good,Apply potassium fertilizer
F0041,2025-03-06,Sandy,Barley,West,Summer,6.06,29.29,6.1,47.08,30.06,270.83,1.89,1.0,1.491,4.1,66.1,0.528,0.718,Good,Increase irrigation; Add organic compost
F0042,2024-10-21,Sandy,Potato,South,Winter,20.5,12.08,5.85,45.84,17.17,162.23,1.99,1.42,1.508,20.9,80.1,0.184,0.615,Good,Add lime to increase pH; Add organic compost
F0043,2024-08-28,Sandy,Corn,North,Winter,14.16,4.99,6.2,54.56,27.24,134.98,3.02,0.92,1.778,12.8,53.1,0.371,0.85,Excellent,Increase irrigation
F0044,2025-07-21,Silt,Tomato,West,Spring,40.04,20.19,6.85,64.08,23.99,182.23,3.55,0.15,1.503,17.3,56.3,0.448,0.79,Good,Maintain current practices
F0045,2023-12-21,Clay,Wheat,West,Fall,37.47,14.15,6.81,34.64,22.31,246.76,3.37,0.19,1.299,2.4,61.5,0.404,0.942,Excellent,Maintain current practices
F0046,2024-01-22,Sandy,Soybean,South,Winter,22.88,9.46,5.67,55.59,25.47,180.56,1.79,0.97,1.586,38.4,48.4,0.262,0.787,Good,Add lime to increase pH; Add organic compost
F0047,2024-05-13,Silt,Rice,East,Winter,31.05,7.18,7.37,23.41,22.26,165.14,2.3,0.43,1.314,7.9,79.0,0.491,0.783,Good,Apply nitrogen fertilizer
F0048,2023-10-22,Clay,Potato,Central,Spring,38.61,13.95,7.35,47.82,30.7,170.39,3.31,1.38,1.344,24.1,49.9,0.689,0.79,Good,Maintain current practices
F0049,2024-02-18,Peat,Wheat,North,Summer,42.98,19.5,5.78,52.52,20.82,221.96,11.65,0.21,0.876,2.1,33.8,0.854,0.85,Excellent,Add lime to increase pH
F0050,2024-10-15,Silt,Potato,West,Summer,20.71,25.91,7.12,57.3,33.83,184.57,3.08,0.62,1.344,31.4,75.1,0.626,0.83,Excellent,Maintain current practices
F0051,2024-10-04,Clay,Rice,West,Spring,42.06,17.7,7.04,41.77,26.57,140.87,3.7,0.15,1.253,12.2,68.8,0.747,0.914,Excellent,Maintain current practices
F0052,2025-08-14,Loam,Potato,East,Winter,35.54,1.32,6.42,43.0,25.21,200.71,3.84,0.96,1.324,1.9,53.0,0.154,0.904,Excellent,Maintain current practices
F0053,2024-06-30,Peat,Potato,South,Summer,39.15,35.26,5.65,59.08,18.13,208.01,11.71,0.91,0.631,16.5,64.5,0.866,0.79,Good,Add lime to increase pH
F0054,2024-07-18,Sandy,Wheat,Central,Spring,23.44,16.42,5.83,59.06,32.78,204.87,1.01,0.45,1.575,2.4,61.6,0.657,0.758,Good,Add lime to increase pH; Add organic compost
F0055,2025-01-27,Clay,Wheat,Central,Winter,47.18,7.16,7.45,48.67,24.44,113.56,3.71,0.97,1.382,9.2,48.8,0.458,0.754,Good,Apply potassium fertilizer
F0056,2024-03-09,Peat,Rice,North,Spring,74.04,12.06,5.51,55.51,20.87,183.84,11.77,0.58,0.769,3.3,84.2,0.572,0.658,Good,Add lime to increase pH; Improve drainage
F0057,2024-01-01,Clay,Corn,South,Winter,49.84,10.39,7.51,43.12,27.14,215.59,3.54,1.73,1.422,4.7,95.0,0.246,0.72,Good,Add sulfur to decrease pH
F0058,2025-05-27,Peat,Soybean,Central,Spring,76.36,18.16,5.34,38.64,22.75,126.22,11.54,0.34,0.723,1.0,46.9,0.748,0.613,Good,Add lime to increase pH; Improve drainage
F0059,2024-05-25,Clay,Tomato,Central,Fall,34.85,13.35,6.86,63.06,26.33,199.7,3.64,3.64,1.248,5.0,55.4,0.478,0.892,Excellent,Reduce soil salinity
F0060,2024-10-10,Sandy,Cotton,South,Fall,13.29,15.34,6.14,45.58,30.06,188.12,1.04,2.28,1.78,6.2,73.8,0.343,0.67,Good,Increase irrigation; Add organic compost; Reduce soil salinity
F0061,2023-11-14,Sandy,Barley,West,Fall,16.98,18.02,5.95,35.61,13.97,150.76,1.78,2.61,1.669,3.2,64.8,0.478,0.726,Good,Add lime to increase pH; Apply phosphorus fertilizer; Increase irrigation; Add organic compost; Reduce soil salinity
F0062,2023-11-15,Clay,Potato,Central,Spring,40.41,14.02,7.51,63.06,39.77,203.36,3.32,1.28,1.411,11.2,75.7,0.76,0.862,Excellent,Add sulfur to decrease pH
F0063,2024-01-14,Peat,Soybean,Central,Fall,64.15,13.3,5.45,36.17,34.65,147.32,12.18,0.6,0.777,8.4,67.9,0.307,0.627,Good,Add lime to increase pH; Improve drainage
F0064,2024-06-18,Loam,Corn,South,Fall,27.24,18.29,7.45,52.54,26.75,189.98,4.99,0.77,1.428,9.5,71.1,0.461,0.855,Excellent,Maintain current practices
F0065,2025-05-19,Sandy,Potato,Central,Fall,15.4,10.6,6.36,35.81,20.53,195.09,2.58,0.79,1.43,6.0,43.3,0.0,0.759,Good,Increase irrigation
F0066,2025-07-11,Peat,Wheat,Central,Fall,58.49,9.96,5.71,46.95,20.49,128.79,12.44,1.33,0.79,2.7,89.9,0.293,0.723,Good,Add lime to increase pH; Improve drainage
F0067,2023-12-19,Clay,Rice,East,Spring,41.28,15.7,6.82,59.55,24.34,224.69,3.67,1.16,1.346,12.9,67.9,0.706,0.852,Excellent,Maintain current practices
F0068,2025-05-12,Peat,Rice,East,Fall,64.32,10.65,6.04,39.68,13.55,185.12,11.66,1.5,0.735,6.7,64.6,0.232,0.577,Fair,Apply phosphorus fertilizer; Improve drainage
F0069,2025-01-30,Sandy,Cotton,South,Fall,10.25,18.52,6.24,53.4,17.26,178.09,1.8,0.29,1.652,25.9,68.1,0.0,0.689,Good,Increase irrigation; Add organic compost
F0070,2025-06-11,Silt,Barley,North,Spring,33.95,10.0,6.92,64.78,30.13,157.15,3.29,2.1,1.442,26.4,70.4,0.734,0.87,Excellent,Reduce soil salinity
F0071,2024-08-07,Silt,Barley,North,Spring,39.15,10.93,7.4,51.98,41.6,152.43,3.87,0.97,1.247,5.4,64.6,0.921,0.916,Excellent,Maintain current practices
F0072,2025-03-18,Sandy,Barley,South,Winter,20.81,10.08,6.04,46.91,16.82,169.7,0.97,1.12,1.665,1.2,51.5,0.334,0.716,Good,Add organic compost
F0073,2025-08-08,Silt,Wheat,North,Spring,41.05,11.08,7.32,53.69,23.62,215.35,3.33,0.17,1.403,2.6,55.6,0.659,0.852,Excellent,Maintain current practices
F0074,2024-11-14,Sandy,Wheat,East,Summer,11.28,23.9,5.8,53.8,34.38,201.74,1.61,1.44,1.315,2.9,69.8,0.406,0.734,Good,Add lime to increase pH; Increase irrigation; Add organic compost
F0075,2023-10-11,Sandy,Wheat,East,Fall,13.6,12.69,5.99,48.82,25.61,128.68,2.3,0.55,1.665,2.2,59.8,0.248,0.693,Good,Add lime to increase pH; Increase irrigation
F0076,2024-08-28,Loam,Soybean,South,Spring,36.23,20.76,6.93,50.24,26.91,169.64,4.1,0.79,1.396,7.5,49.5,0.612,0.79,Good,Maintain current practices
F0077,2024-04-30,Peat,Tomato,Central,Summer,44.75,25.69,5.8,48.83,41.71,174.42,12.55,0.33,0.828,4.8,62.1,0.633,0.886,Excellent,Add lime to increase pH
F0078,2024-03-02,Sandy,Rice,West,Spring,19.49,17.3,6.11,67.23,24.54,188.04,2.33,1.77,1.719,3.1,89.5,0.645,0.697,Good,Increase irrigation
F0079,2024-02-11,Loam,Tomato,South,Fall,24.81,17.66,6.9,63.38,37.91,198.14,4.08,1.62,1.505,12.6,60.5,0.506,0.886,Excellent,Maintain current practices
F0080,2024-04-15,Clay,Tomato,North,Winter,45.88,1.65,7.2,51.23,13.48,243.78,3.08,0.34,1.085,2.5,56.0,0.546,0.829,Excellent,Apply phosphorus fertilizer
F0081,2024-04-21,Sandy,Potato,East,Fall,12.94,16.5,6.29,45.4,5.0,271.64,1.11,0.16,1.833,13.9,73.9,0.428,0.699,Good,Apply phosphorus fertilizer; Increase irrigation; Add organic compost
F0082,2024-08-02,Sandy,Wheat,South,Winter,20.34,10.21,5.98,38.97,22.75,112.28,1.75,0.34,1.49,1.1,71.0,0.152,0.733,Good,Add lime to increase pH; Apply potassium fertilizer; Add organic compost
F0083,2025-06-18,Loam,Corn,East,Fall,22.05,11.55,6.97,47.25,25.84,126.64,3.9,1.06,1.54,7.9,66.9,0.236,0.848,Excellent,Maintain current practices
F0084,2023-09-29,Peat,Tomato,Central,Fall,61.63,12.1,5.51,54.38,19.7,123.9,12.87,0.26,0.731,14.7,56.6,0.199,0.726,Good,Add lime to increase pH; Improve drainage
F0085,2023-10-10,Clay,Barley,South,Fall,32.49,21.29,6.84,44.48,30.07,196.55,3.41,0.75,1.422,23.8,56.6,0.095,0.887,Excellent,Maintain current practices
F0086,2024-11-20,Clay,Tomato,East,Fall,42.74,10.39,7.69,73.42,20.57,202.76,4.31,0.61,1.28,3.1,54.3,0.305,0.775,Good,Add sulfur to decrease pH
F0087,2024-05-18,Peat,Corn,West,Summer,42.7,23.89,5.6,72.67,9.05,194.96,12.61,1.37,0.995,4.6,64.2,0.451,0.798,Good,Add lime to increase pH; Apply phosphorus fertilizer
F0088,2024-09-07,Clay,Tomato,North,Summer,21.76,22.16,7.68,69.55,35.51,131.42,3.23,0.22,1.421,9.3,53.8,0.634,0.771,Good,Add sulfur to decrease pH
F0089,2025-07-11,Silt,Corn,East,Fall,31.09,13.01,7.17,46.44,17.88,151.83,2.88,0.89,1.421,3.0,32.7,0.425,0.805,Excellent,Maintain current practices
F0090,2025-07-14,Clay,Barley,Central,Fall,35.75,12.0,7.08,45.71,21.49,226.65,3.78,1.28,1.283,4.3,49.5,0.497,0.847,Excellent,Maintain current practices
F0091,2025-03-21,Silt,Cotton,West,Fall,30.51,13.55,7.06,69.72,22.6,153.98,3.26,0.1,1.356,5.0,62.2,0.376,0.873,Excellent,Maintain current practices
F0092,2025-07-25,Sandy,Soybean,West,Winter,14.09,5.71,5.13,37.35,27.27,148.27,2.07,0.25,1.579,22.1,56.5,0.238,0.613,Good,Add lime to increase pH; Increase irrigation
F0093,2024-07-08,Sandy,Barley,West,Spring,15.88,17.6,5.81,50.53,19.17,118.63,2.26,1.2,1.829,2.3,61.6,0.781,0.653,Good,Add lime to increase pH; Apply potassium fertilizer; Increase irrigation
F0094,2024-12-20,Loam,Soybean,West,Fall,27.64,15.52,6.79,33.61,21.87,179.39,4.63,0.42,1.252,9.6,50.1,0.295,0.806,Excellent,Maintain current practices
F0095,2024-02-21,Silt,Potato,South,Winter,45.18,7.61,6.99,57.35,18.1,87.89,2.78,0.39,1.122,4.7,80.6,0.06,0.734,Good,Apply potassium fertilizer
F0096,2023-12-05,Clay,Barley,Central,Fall,34.73,13.84,7.62,51.72,27.21,211.98,3.18,0.95,1.346,4.7,61.6,0.314,0.825,Excellent,Add sulfur to decrease pH
F0097,2024-01-29,Sandy,Barley,South,Summer,9.14,28.4,6.39,42.55,14.38,207.21,2.38,0.57,1.556,18.6,75.8,0.691,0.777,Good,Apply phosphorus fertilizer; Increase irrigation
F0098,2025-05-18,Clay,Wheat,South,Winter,41.74,9.0,7.28,37.6,30.13,228.99,3.21,0.86,1.236,15.9,86.8,0.57,0.835,Excellent,Maintain current practices
F0099,2025-08-14,Clay,Potato,West,Summer,26.28,25.29,7.31,62.05,23.32,156.21,2.86,0.14,1.105,7.0,60.8,0.399,0.869,Excellent,Maintain current practices
F0100,2024-01-30,Silt,Potato,West,Summer,21.91,27.53,7.25,51.09,34.71,174.4,3.44,1.4,1.368,7.7,63.7,0.521,0.855,Excellent,Maintain current practices
F0101,2024-02-28,Clay,Corn,West,Summer,28.21,27.04,7.29,79.62,26.93,284.07,3.78,0.14,1.333,15.6,62.9,0.416,0.884,Excellent,Maintain current practices
F0102,2024-01-03,Peat,Potato,North,Summer,39.45,20.84,5.68,70.96,28.16,132.16,12.22,1.87,0.739,2.0,48.4,0.708,0.779,Good,Add lime to increase pH
F0103,2024-11-27,Silt,Rice,West,Fall,35.18,13.2,7.07,47.46,13.65,109.57,2.24,1.94,1.368,4.0,56.5,0.328,0.797,Good,Apply phosphorus fertilizer; Apply potassium fertilizer
F0104,2024-02-10,Peat,Tomato,Central,Winter,80.0,9.12,5.86,68.19,29.74,211.13,11.72,0.41,0.8,17.8,55.3,0.313,0.79,Good,Add lime to increase pH; Improve drainage
F0105,2025-06-14,Silt,Potato,East,Summer,17.57,24.61,6.78,42.67,24.34,175.13,3.76,1.31,1.369,12.6,83.3,0.687,0.817,Excellent,Increase irrigation
F0106,2024-11-24,Loam,Potato,South,Fall,22.12,16.26,7.13,63.08,37.35,160.45,3.64,0.93,1.223,16.9,62.1,0.377,0.824,Excellent,Maintain current practices
F0107,2024-08-09,Clay,Barley,South,Fall,31.49,11.26,7.19,56.18,38.29,161.72,3.2,1.17,1.34,5.2,63.5,0.269,0.804,Excellent,Maintain current practices
F0108,2024-04-24,Loam,Corn,South,Summer,15.02,29.55,6.91,73.31,18.57,239.71,4.06,0.82,1.325,9.0,48.0,0.711,0.831,Excellent,Increase irrigation
F0109,2024-10-29,Silt,Rice,South,Spring,36.2,21.03,6.53,43.77,31.35,129.83,3.15,0.23,1.358,10.8,54.0,0.478,0.846,Excellent,Maintain current practices
F0110,2024-10-30,Silt,Cotton,Central,Winter,42.45,2.97,7.02,53.43,30.54,187.06,2.82,0.41,1.359,2.5,64.1,0.365,0.876,Excellent,Maintain current practices
F0111,2025-04-21,Clay,Soybean,West,Winter,38.41,4.98,7.39,51.46,25.17,150.88,3.41,2.07,1.237,12.9,57.8,0.157,0.781,Good,Reduce soil salinity
F0112,2024-08-26,Clay,Tomato,West,Spring,46.87,17.65,7.12,69.67,12.49,215.32,3.46,0.72,1.619,17.0,72.6,0.617,0.712,Good,Apply phosphorus fertilizer
F0113,2025-01-12,Loam,Tomato,West,Summer,20.26,25.66,7.36,80.64,21.42,231.24,4.23,1.51,1.498,13.3,60.0,0.539,0.779,Good,Maintain current practices
F0114,2023-09-30,Sandy,Barley,West,Winter,20.77,11.13,5.68,42.19,36.3,176.81,2.03,0.32,1.643,2.8,61.2,0.478,0.854,Excellent,Add lime to increase pH
F0115,2024-12-22,Silt,Cotton,West,Summer,22.74,27.65,7.06,57.17,27.71,168.18,3.08,2.01,1.32,1.0,33.2,0.509,0.871,Excellent,Reduce soil salinity
F0116,2023-11-25,Sandy,Wheat,West,Spring,17.93,15.0,5.85,60.72,29.37,170.44,1.62,0.61,1.508,14.3,83.9,0.75,0.693,Good,Add lime to increase pH; Increase irrigation; Add organic compost
F0117,2023-10-22,Silt,Rice,West,Summer,22.21,26.95,6.73,50.59,15.57,227.51,2.77,0.97,1.31,12.2,78.1,0.398,0.82,Excellent,Maintain current practices
F0118,2024-12-09,Loam,Tomato,East,Summer,23.32,23.0,6.6,76.11,26.44,194.03,4.44,1.31,1.511,10.2,74.8,0.58,0.842,Excellent,Maintain current practices
F0119,2024-11-05,Loam,Cotton,West,Fall,28.32,13.76,6.15,56.78,20.72,176.38,4.37,0.96,1.356,14.2,76.1,0.392,0.814,Excellent,Maintain current practices
F0120,2025-03-06,Loam,Corn,West,Spring,33.26,15.93,7.04,68.94,39.71,171.06,4.03,0.82,1.37,1.7,76.7,0.743,0.983,Excellent,Maintain current practices
F0121,2025-06-29,Clay,Cotton,South,Spring,41.69,19.66,7.22,69.3,17.58,189.53,3.99,1.2,1.365,40.5,55.2,0.325,0.84,Excellent,Maintain current practices
F0122,2023-09-21,Clay,Wheat,South,Summer,28.62,29.73,7.49,66.9,35.52,245.6,3.87,0.88,1.14,6.8,30.0,0.618,0.901,Excellent,Maintain current practices
F0123,2024-12-28,Peat,Rice,South,Summer,42.13,33.39,5.31,49.56,19.06,127.2,11.69,0.81,0.778,0.8,42.4,0.714,0.764,Good,Add lime to increase pH
F0124,2024-09-12,Clay,Soybean,West,Fall,30.63,13.38,6.97,37.55,35.72,104.99,3.56,0.73,1.367,3.8,69.0,0.461,0.848,Excellent,Apply potassium fertilizer
F0125,2023-12-20,Sandy,Corn,South,Fall,20.7,16.88,5.79,42.89,10.57,116.63,1.93,1.21,1.692,5.3,57.8,0.322,0.717,Good,Add lime to increase pH; Apply phosphorus fertilizer; Apply potassium fertilizer; Add organic compost
F0126,2024-10-11,Peat,Wheat,East,Winter,80.0,4.46,5.23,27.79,19.25,171.55,11.51,0.75,0.808,12.1,62.5,0.136,0.647,Good,Add lime to increase pH; Apply nitrogen fertilizer; Improve drainage
F0127,2023-12-14,Sandy,Corn,Central,Summer,10.2,25.04,6.21,67.87,32.63,191.48,1.49,1.09,1.606,4.4,64.5,0.569,0.698,Good,Increase irrigation; Add organic compost
F0128,2024-08-21,Loam,Corn,Central,Spring,24.35,13.9,6.83,67.28,16.78,230.63,3.77,1.63,1.443,26.7,53.8,0.75,0.819,Excellent,Maintain current practices
F0129,2025-01-31,Peat,Tomato,East,Spring,76.18,14.5,5.59,74.08,23.93,212.43,12.4,0.14,0.959,14.4,48.6,0.538,0.647,Good,Add lime to increase pH; Improve drainage
F0130,2023-12-18,Loam,Wheat,West,Winter,31.86,6.38,7.03,55.48,36.17,157.51,4.1,0.15,1.319,1.6,84.1,0.296,0.932,Excellent,Maintain current practices
F0131,2024-11-19,Silt,Cotton,West,Summer,18.57,27.85,6.86,59.88,29.37,180.26,2.78,0.76,1.24,6.2,61.1,0.84,0.861,Excellent,Increase irrigation
F0132,2024-12-20,Sandy,Barley,Central,Winter,18.61,6.39,5.9,51.38,27.96,175.71,2.02,0.18,1.487,9.6,47.3,0.396,0.772,Good,Add lime to increase pH; Increase irrigation
F0133,2023-11-28,Silt,Barley,East,Summer,15.6,23.91,6.76,45.43,23.65,161.12,2.01,1.42,1.333,3.0,30.0,0.557,0.8,Excellent,Increase irrigation
F0134,2025-04-06,Loam,Potato,South,Winter,38.38,7.54,6.95,44.28,24.15,285.77,3.45,1.01,1.447,6.2,69.2,0.393,0.823,Excellent,Maintain current practices
F0135,2025-01-19,Peat,Tomato,East,Spring,73.13,14.94,5.84,71.59,10.82,230.48,11.55,0.48,0.824,0.4,80.8,0.633,0.69,Good,Add lime to increase pH; Apply phosphorus fertilizer; Improve drainage
F0136,2024-08-29,Loam,Rice,West,Summer,18.36,28.04,6.99,52.44,25.72,172.11,4.12,0.71,1.513,7.5,80.1,0.698,0.874,Excellent,Increase irrigation
F0137,2025-03-23,Loam,Cotton,East,Fall,24.94,11.22,7.14,57.58,18.82,196.28,3.71,0.22,1.311,4.7,79.3,0.377,0.903,Excellent,Maintain current practices
F0138,2024-10-21,Clay,Soybean,North,Summer,26.05,20.72,7.33,48.4,31.03,227.56,3.85,1.08,1.407,4.1,64.6,0.499,0.86,Excellent,Maintain current practices
F0139,2024-12-02,Silt,Soybean,West,Winter,36.62,6.38,6.43,36.71,25.01,147.32,3.33,1.6,1.334,4.5,53.5,0.159,0.821,Excellent,Maintain current practices
F0140,2024-10-19,Clay,Corn,East,Summer,23.92,24.47,6.6,71.08,15.09,182.4,3.64,2.06,1.169,8.4,80.1,0.87,0.872,Excellent,Reduce soil salinity
F0141,2024-12-28,Sandy,Barley,Central,Fall,15.63,11.02,6.24,34.21,28.81,200.22,2.33,4.19,1.526,15.5,54.6,0.239,0.631,Good,Increase irrigation; Reduce soil salinity
F0142,2024-08-26,Peat,Cotton,West,Fall,60.46,12.36,5.84,50.0,24.93,166.88,12.08,1.49,0.713,6.7,53.3,0.229,0.784,Good,Add lime to increase pH; Improve drainage
F0143,2024-04-24,Silt,Barley,East,Fall,30.79,12.39,7.26,40.9,28.12,175.87,3.13,0.51,1.507,2.4,79.5,0.485,0.846,Excellent,Maintain current practices
